Run,Date,Sample,Compound,Peak #,Ret Time,Type,Width,Area,Start Time,End Time
22081122,220811,10428,Peak_2,2,4.591,   M,0.081,13004676,4.451,4.93
22081123,220811,10429,Peak_1,1,4.112,   M,0.046,4899854,4.047,4.254
22081123,220811,10429,Peak_2,2,4.592,   M,0.075,12786673,4.463,4.928
22081124,220811,10430,Peak_1,1,4.113,   M,0.048,4743272,4.055,4.245
22081124,220811,10430,Peak_2,2,4.592,   M,0.077,12053784,4.46,4.927
22081125,220811,10431,Peak_1,1,4.111,   M,0.048,4594357,4.047,4.223
22081125,220811,10431,Peak_2,2,4.591,   M,0.082,12955648,4.452,4.926
22081126,220811,10432,Peak_1,1,4.112,   M,0.049,4991307,4.041,4.236
22081126,220811,10432,Peak_2,2,4.591,   M,0.075,11677457,4.459,4.86
22081127,220811,10433,Peak_1,1,4.112,   M,0.048,4720232,4.051,4.248
22081127,220811,10433,Peak_2,2,4.591,   M,0.076,12300536,4.449,4.883
22081128,220811,10435,Peak_1,1,4.112,   M,0.048,5169553,4.048,4.244
22081128,220811,10435,Peak_2,2,4.592,   M,0.079,13814125,4.458,4.974
22081129,220811,10437,Peak_1,1,4.109,   M,0.046,4768327,4.051,4.198
22081129,220811,10437,Peak_2,2,4.589,   M,0.077,13050256,4.459,4.833
22081130,220811,10438,Peak_1,1,4.11,   M,0.044,4657925,4.05,4.201
22081130,220811,10438,Peak_2,2,4.591,   M,0.075,12443568,4.456,4.87
22081131,220811,10439,Peak_1,1,4.109,   M,0.047,4844316,4.047,4.216
22081131,220811,10439,Peak_2,2,4.59,   M,0.08,13352155,4.456,4.896
22081132,220811,10440,Peak_1,1,4.109,   M,0.046,4415504,4.048,4.23
22081132,220811,10440,Peak_2,2,4.589,   M,0.08,12794006,4.45,4.899
22081133,220811,10443,Peak_1,1,4.111,   M,0.047,5224277,4.053,4.234
22081133,220811,10443,Peak_2,2,4.59,   M,0.075,13264878,4.461,4.895
22081134,220811,10444,Peak_1,1,4.104,   M,0.046,4125549,4.046,4.185
22081134,220811,10444,Peak_2,2,4.586,   M,0.079,11997274,4.461,4.892
22081135,220811,10445,Peak_1,1,4.107,   M,0.049,4715385,4.045,4.202
22081135,220811,10445,Peak_2,2,4.586,   M,0.082,12932499,4.464,4.925
22081136,220811,10446,Peak_1,1,4.117,   M,0.043,4592141,4.064,4.219
22081136,220811,10446,Peak_2,2,4.596,   M,0.068,11033452,4.463,4.867
22081137,220811,10447,Peak_1,1,4.105,   M,0.038,3380867,4.065,4.157
22081137,220811,10447,Peak_2,2,4.586,   M,0.075,11790692,4.46,4.836
22072741B,220727,9482,Peak_1,1,,,,0,,
22072741B,220727,9482,Peak_2,2,4.58,   M,0.122,1334812,4.498,4.819
22072742B,220727,9483,Peak_1,1,,,,0,,
22072742B,220727,9483,Peak_2,2,4.623,   M,0.111,507913,4.563,4.846
22072743B,220727,9486,Peak_1,1,,,,0,,
22072743B,220727,9486,Peak_2,2,4.606,   M,0.119,986434,4.524,4.893
