NGI ID	User ID	Mreads	≥Q30
P26207_311	797	28.58	89.02
P26207_312	832	28.84	89.22
P26207_313	811	36.11	89.01
P26207_314	939	29.40	88.74
P26207_315	1107	27.36	88.70
P26207_316	1043	27.00	88.65
P26207_317	958	38.76	90.09
P26207_318	1268	36.06	87.18
P26207_319	1352	27.57	89.18
P26207_320	405	34.43	89.93
P26207_321	935	40.39	90.18
P26207_322	1009	33.97	89.51
P26207_323	1172	39.71	90.07
P26207_324	669	32.33	89.21
P26207_325	1024	31.19	89.45
P26207_326	1374	39.37	89.40
P26207_327	1401	44.46	89.94
P26207_328	829	34.96	89.87
P26207_329	1362	28.95	89.27
P26207_330	403	36.71	88.91
P26207_331	1353	22.59	88.80
P26207_332	1417	33.70	89.33
P26207_333	524	34.28	89.84
P26207_334	798	32.79	89.93
P26207_335	837	35.90	89.19
P26207_336	961	32.77	87.91
P26207_337	492	32.02	88.27
P26207_338	622	30.66	89.36
P26207_339	993	36.52	89.27
P26207_340	1400	37.07	89.39
P26207_341	521	41.05	89.19
P26207_342	522	35.95	87.57
P26207_343	1067	42.31	87.63
P26207_344	793	30.10	89.09
P26207_345	1431	35.53	89.86
P26207_346	664	32.29	88.74
P26207_347	1405	33.06	88.18
P26207_348	498	40.17	89.18
P26207_349	789	35.13	88.34
P26207_350	989	40.06	89.64
P26207_351	970	37.76	89.33
P26207_352	719	34.46	88.25
P26207_353	1414	33.30	89.71
P26207_354	621	41.48	89.01
P26207_355	977	29.85	89.10
P26207_356	1114	46.45	90.30
P26207_357	1481	34.71	88.98
P26207_358	418	32.93	89.80
P26207_359	529	39.60	89.79
P26207_360	937	33.09	81.12
P26207_361	951	36.79	89.80
P26207_362	1070	31.82	90.39
P26207_363	1272	32.56	88.95
P26207_364	1370	34.82	89.73
P26207_365	1124	20.51	88.57
P26207_366	1232	28.52	85.97
P26207_367	1383	25.41	88.29
P26207_368	1385	19.45	88.01
P26207_369	518	27.94	89.54
P26207_370	1376	17.85	89.13
P26207_371	948	29.91	87.43
